2024-04-08 15:19:17,12.45,116.57,104.12,21.50,73.56,5.36,9.62
2024-04-08 16:19:57,15.67,97.17,81.51,20.28,73.50,5.32,9.43
2024-04-08 17:19:17,14.59,106.07,91.47,23.82,73.77,5.39,11.57
2024-04-08 19:18:36,10.91,94.49,83.59,21.64,73.47,5.31,9.46
2024-04-08 20:19:37,13.27,94.98,81.71,23.82,73.74,5.32,11.41
2024-04-08 21:18:35,11.76,88.54,76.78,25.06,73.59,5.42,10.23
2024-04-08 22:19:56,12.41,113.28,100.87,27.33,74.11,6.19,12.20
2024-04-08 23:19:27,13.22,90.01,76.79,24.66,73.46,5.32,9.34
2024-04-09 00:31:34,13.09,88.43,75.34,20.72,73.57,5.31,9.37
2024-04-09 01:37:06,11.03,88.61,77.58,20.67,73.41,5.33,9.45
2024-04-09 02:21:21,12.56,99.87,87.31,21.34,73.81,5.34,10.87
2024-04-09 03:23:00,12.15,87.32,75.17,22.22,73.56,5.35,12.27
2024-04-09 04:19:31,13.08,94.04,80.97,24.05,73.56,5.25,9.47
2024-04-09 05:19:04,12.42,91.37,78.95,21.52,73.62,5.32,9.40
2024-04-09 06:19:18,12.63,81.90,69.26,21.45,73.50,5.31,9.64
2024-04-09 07:22:22,12.60,103.54,90.94,23.93,73.77,5.31,14.59
2024-04-09 08:19:20,12.55,86.22,73.68,21.19,73.45,6.88,9.48
2024-04-09 09:19:02,12.58,94.03,81.46,24.61,73.93,5.37,11.61
2024-04-09 10:19:26,10.92,78.07,67.15,20.42,73.52,5.31,9.35
2024-04-09 11:18:03,12.27,84.18,71.91,20.96,73.54,5.32,9.37
2024-04-09 12:20:16,12.41,90.67,78.25,20.44,73.47,5.37,9.53
2024-04-09 13:18:40,11.03,90.92,79.89,20.68,73.47,5.33,9.36
2024-04-09 14:18:23,11.55,89.48,77.93,21.29,73.47,5.32,9.39
2024-04-09 15:19:06,11.98,95.99,84.01,20.83,73.88,5.36,9.54
2024-04-09 16:19:59,14.33,91.26,76.93,21.58,73.46,5.33,9.61
2024-04-09 17:21:36,11.46,100.28,88.82,22.89,73.71,5.35,14.28
2024-04-09 18:18:59,10.66,84.85,74.19,20.69,73.47,5.32,9.44
2024-04-09 19:18:06,11.11,85.85,74.74,20.98,73.85,5.64,9.34
2024-04-09 20:18:39,9.96,82.05,72.09,20.52,73.47,5.31,9.48
2024-04-09 21:22:19,12.14,96.75,84.61,24.02,73.77,5.35,13.69
2024-04-09 22:21:42,11.69,95.74,84.05,23.79,74.36,5.32,13.94
2024-04-09 23:19:07,11.21,108.06,96.84,21.71,73.48,5.33,9.36
2024-04-10 00:31:25,15.51,94.85,79.34,20.44,73.46,5.36,9.58
2024-04-10 02:20:52,10.74,83.72,72.98,20.72,73.82,5.68,9.62
2024-04-10 03:19:27,12.55,102.10,89.55,23.24,73.78,5.31,11.29
2024-04-10 04:18:55,10.27,87.92,77.65,21.12,73.65,5.34,9.62
2024-04-10 05:18:39,11.49,80.12,68.63,23.15,73.52,5.73,9.48
2024-04-10 07:19:38,13.40,105.26,91.85,24.19,73.79,5.35,11.52
2024-04-10 08:19:34,12.22,86.74,74.52,21.12,73.54,5.33,9.82
2024-04-10 09:18:57,11.23,80.42,69.19,20.91,73.53,5.34,9.50
2024-04-10 10:18:57,13.21,83.51,70.30,20.27,73.45,5.37,9.42
2024-04-10 11:19:12,13.30,86.51,73.21,20.86,73.45,5.32,9.40
2024-04-10 12:21:25,11.05,83.39,72.34,20.45,73.71,77.88,9.32
2024-04-10 13:19:04,12.34,97.42,85.08,24.32,74.32,5.32,11.94
2024-04-10 14:18:35,13.71,86.76,73.05,20.74,73.93,5.34,9.48
2024-04-10 16:19:36,10.66,85.04,74.38,21.16,73.85,5.31,9.33
2024-04-10 17:18:48,11.18,110.94,99.77,21.68,73.51,5.31,9.55
2024-04-10 18:20:32,16.53,99.25,82.73,24.43,74.32,5.36,11.83
2024-04-10 19:19:16,13.06,105.28,92.22,21.62,73.73,5.37,9.69
2024-04-10 20:18:52,11.24,90.00,78.77,20.83,73.97,5.31,9.43
2024-04-10 21:18:38,11.79,79.67,67.88,20.66,74.36,5.69,9.55
2024-04-10 22:19:09,12.18,92.99,80.81,21.61,73.97,5.30,9.45
2024-04-10 23:22:35,12.37,99.60,87.23,24.21,74.35,6.12,13.80
2024-04-11 00:31:24,13.11,82.28,69.16,22.36,74.18,5.83,9.42
2024-04-11 01:37:25,10.12,77.81,67.69,20.45,73.86,5.28,9.54
2024-04-11 02:22:25,9.95,81.98,72.03,20.33,73.59,5.30,9.37
2024-04-11 04:22:15,12.34,96.40,84.06,24.05,73.84,5.35,13.46
2024-04-11 05:19:03,11.82,89.45,77.63,20.80,73.82,5.35,9.37
2024-04-11 07:18:43,10.96,80.07,69.10,20.99,73.46,5.33,9.43
2024-04-11 08:19:19,10.86,82.26,71.39,20.65,73.84,5.30,9.43
2024-04-11 09:18:48,11.65,82.78,71.13,21.30,74.19,5.32,9.39
2024-04-11 10:18:45,11.25,80.98,69.73,21.04,73.85,5.69,9.38
2024-04-11 11:21:31,12.41,92.07,79.67,24.76,74.44,5.34,13.86
2024-04-11 12:20:08,12.51,90.74,78.24,21.22,74.07,5.33,9.42
2024-04-11 13:19:07,12.97,95.85,82.87,21.27,73.84,5.29,9.38
2024-04-11 14:18:39,10.26,91.03,80.76,20.54,73.47,5.37,9.40
2024-04-11 15:19:13,12.18,103.56,91.37,29.77,74.90,5.27,12.48
2024-04-11 16:19:00,10.71,79.70,68.99,21.46,73.53,5.71,9.46
2024-04-11 17:18:53,11.67,100.22,88.55,21.80,73.58,5.36,10.31
2024-04-11 18:19:22,12.20,91.69,79.49,21.96,73.45,5.30,9.41
2024-04-11 19:21:21,11.56,97.38,85.82,24.74,74.22,5.39,14.30
2024-04-11 20:18:33,10.55,83.52,72.96,20.36,73.90,5.33,9.32
2024-04-11 21:22:03,12.94,99.93,86.99,24.19,74.20,5.36,14.24
2024-04-11 22:18:58,11.83,89.28,77.45,20.50,74.07,5.34,9.44
2024-04-11 23:19:13,11.74,90.85,79.11,20.97,73.44,5.32,9.54
2024-04-12 00:35:08,12.18,99.80,87.62,21.01,73.69,5.32,11.99
2024-04-12 01:38:06,14.40,126.97,112.57,21.27,73.40,5.32,9.71
2024-04-12 02:23:57,11.62,92.84,81.22,22.30,73.44,5.89,9.56
2024-04-12 03:22:29,11.50,104.30,92.80,24.52,73.82,5.31,13.82
2024-04-12 04:19:12,12.51,94.08,81.56,24.32,74.05,6.02,11.38
2024-04-12 05:20:03,13.70,106.16,92.46,23.56,73.71,5.41,11.27
2024-04-12 07:22:11,12.10,96.95,84.85,25.37,73.74,5.35,13.82
2024-04-12 08:19:24,13.30,93.25,79.96,24.71,73.91,5.77,11.34
2024-04-12 09:19:18,12.02,96.95,84.94,28.06,76.83,5.34,9.60
2024-04-12 10:18:52,11.44,89.79,78.36,20.93,74.11,5.33,9.59
2024-04-12 11:22:13,12.26,107.92,95.66,24.00,74.08,5.32,13.26
2024-04-12 12:19:47,11.36,85.27,73.91,21.85,73.76,5.36,9.50
2024-04-12 13:22:02,12.75,95.70,82.94,23.79,74.12,5.31,12.87
2024-04-12 14:21:29,11.76,93.68,81.91,23.73,73.82,5.32,13.92
2024-04-12 15:18:32,11.33,86.11,74.78,22.09,73.45,5.32,9.48
2024-04-12 16:22:16,11.33,96.79,85.46,21.27,73.58,5.34,11.99
2024-04-12 17:18:32,10.95,83.56,72.60,21.18,73.46,6.37,9.43
2024-04-12 18:18:41,11.40,77.97,66.57,20.32,73.45,5.33,9.32
2024-04-12 19:18:49,10.76,96.47,85.71,20.76,73.41,5.30,9.50
2024-04-12 20:19:01,11.50,92.21,80.70,20.15,73.49,5.52,9.34
2024-04-12 21:18:22,10.66,86.14,75.48,20.46,73.81,5.32,9.38
2024-04-12 22:18:21,13.12,102.23,89.11,24.63,73.71,5.36,12.03
2024-04-12 23:21:11,11.55,98.84,87.29,22.96,73.77,5.38,14.07
2024-04-13 00:27:48,11.96,85.39,73.43,21.19,73.58,5.36,9.33
2024-04-13 01:28:33,11.42,82.12,70.71,21.61,73.51,5.31,9.52
2024-04-13 02:18:29,10.39,84.20,73.81,20.72,73.83,5.34,9.44
2024-04-13 03:18:36,13.50,83.00,69.50,21.15,73.47,5.37,9.36
2024-04-13 04:19:02,10.79,87.34,76.55,20.88,73.49,5.37,9.49
2024-04-13 05:19:35,9.89,79.61,69.72,20.31,73.43,5.30,9.31
2024-04-13 07:18:34,11.79,94.79,82.99,21.16,73.49,5.37,9.64
2024-04-13 08:19:09,15.17,86.15,70.98,20.88,73.41,5.36,9.36
2024-04-13 09:17:54,10.63,85.64,75.01,20.99,74.15,5.31,10.28
2024-04-13 10:18:12,10.98,79.57,68.59,20.10,73.38,5.67,9.46
2024-04-13 11:18:08,13.38,91.98,78.60,21.22,73.46,5.32,9.38
2024-04-13 12:19:54,12.65,96.12,83.46,23.47,73.77,5.30,11.48
2024-04-13 13:19:39,12.42,134.38,121.96,22.92,73.70,5.32,11.63
2024-04-13 16:18:43,10.92,80.14,69.22,21.33,74.11,5.30,9.54
2024-04-13 17:20:45,13.54,96.56,83.02,23.53,73.52,5.26,13.01
2024-04-13 18:19:35,41.20,127.03,85.83,22.89,73.71,5.30,11.72
2024-04-13 19:21:06,12.87,96.81,83.95,23.75,73.75,5.33,13.71
2024-04-13 20:17:50,11.05,78.18,67.13,20.45,73.99,5.29,9.44
2024-04-13 21:18:56,22.89,115.46,92.56,23.93,74.86,5.35,11.64
2024-04-13 23:22:46,13.47,101.19,87.72,24.24,73.79,5.32,13.81
